college_code,branch_code,community,college_enc,branch_enc,community_enc,cutoff_trend,hist_closing,hist_opening,hist_mean,hist_count,last_closing,last_year
1317,IT,BCM,51,57,1,-3.7784,183.91,184.25,183.98,6.0,180.0,2023.0
4680,CS,BC,257,29,0,-2.0723,181.9,189.68,183.45,10.0,180.0,2024.0
1216,CS,MBC,26,29,2,0.4732,180.77,188.0,184.02,41.0,179.0,2024.0
2656,CS,BC,153,29,0,-1.8799,182.33,186.54,183.14,9.0,179.0,2024.0
2615,MT,MBC,127,73,2,1.0919,180.42,183.69,182.15,10.0,179.0,2024.0
1324,AD,BC,55,0,0,1.6013,180.19,186.92,183.66,12.0,179.5,2024.0
2709,EC,MBC,162,34,2,-0.5417,181.35,186.63,182.96,22.0,180.0,2024.0
1317,CS,SC,51,29,6,0.0,181.78,186.83,183.5,6.0,179.5,2024.0
2603,CS,BCM,119,29,1,-0.4338,182.69,189.24,185.52,11.0,182.5,2024.0
4,IM,SCA,248,55,7,-0.9187,184.24,186.76,185.29,12.0,185.5,2024.0
4965,EC,BC,281,34,0,-5.3031,183.56,184.41,185.68,5.0,178.5,2023.0
2719,BM,BCM,170,10,1,2.0,185.41,185.41,185.41,3.0,186.0,2024.0
1399,MZ,MBC,58,76,2,1.7609,182.35,185.28,184.35,14.0,185.0,2024.0
2718,EE,MBC,169,35,2,-1.368,181.44,185.92,182.94,31.0,181.0,2024.0
2719,IT,MBC,170,57,2,-1.9771,182.7,185.18,182.66,9.0,179.0,2024.0
4678,AD,BC,256,0,0,-1.7755,181.18,185.89,183.06,9.0,179.0,2024.0
2739,CB,BC,183,15,0,-1.0275,182.19,185.83,182.23,31.0,180.5,2024.0
2719,IT,BC,170,57,0,-2.2554,180.71,184.96,182.53,71.0,179.0,2024.0
2718,EE,BCM,169,35,1,-0.48,183.52,185.45,183.93,8.0,184.0,2024.0
2722,EC,OC,172,34,5,-0.45,184.21,186.61,185.1,9.0,183.5,2024.0
2006,PN,OC,99,82,5,-3.4706,184.44,185.72,184.82,6.0,181.0,2023.0
1309,IT,BC,46,57,0,-4.1762,181.67,183.72,181.03,11.0,177.0,2023.0
2601,CS,OC,118,29,5,1.8333,182.44,187.94,185.29,4.0,180.0,2023.0
1149,IT,MBC,21,57,2,-0.9771,189.43,189.43,189.43,3.0,189.5,2024.0
1309,AD,OC,46,0,5,-2.3023,181.34,185.51,181.95,11.0,179.0,2024.0
1399,EC,SC,58,34,6,-2.0194,181.5,188.6,182.08,22.0,179.0,2024.0
2620,EC,BC,130,34,0,-1.8733,186.39,186.5,186.41,5.0,187.88,2024.0
1211,AL,BCM,25,3,1,-1.52,183.48,186.73,184.42,14.0,182.0,2024.0
1422,CY,BC,72,32,0,-1.8404,182.8,186.22,184.01,6.0,181.0,2024.0
2718,CB,BCM,169,15,1,-1.2386,185.44,186.99,185.92,4.0,183.5,2023.0
1013,CS,BC,1,29,0,-1.7267,182.57,189.88,184.56,18.0,179.0,2024.0
2718,AD,BCM,169,0,1,-0.3912,186.66,187.98,187.15,9.0,185.5,2024.0
2,CL,SC,97,24,6,-2.0243,182.43,184.99,183.33,5.0,179.0,2024.0
1317,AD,OC,51,0,5,-0.5,186.96,187.36,186.45,6.0,189.0,2024.0
3011,CE,MBC,203,18,2,4.75,183.62,183.62,183.62,2.0,186.0,2022.0
2751,EC,BC,191,34,0,-0.7585,181.13,188.81,183.14,16.0,179.5,2024.0
5008,CM,SC,299,25,6,-0.6155,181.79,186.25,184.3,26.0,182.0,2024.0
1216,EC,BC,26,34,0,-1.176,180.99,189.67,182.98,30.0,179.0,2024.0
2718,EC,BCM,169,34,1,0.4298,185.28,188.25,187.03,17.0,186.5,2024.0
1315,CH,BCM,49,21,1,1.4219,187.81,188.77,188.0,5.0,189.5,2024.0
2369,CS,MBC,116,29,2,0.7783,180.73,185.46,184.71,9.0,181.0,2024.0
1118,EE,BC,11,35,0,2.0,185.0,185.0,185.0,2.0,186.0,2022.0
4933,EC,BC,265,34,0,0.3975,186.49,186.49,186.49,3.0,187.0,2023.0
2711,EE,OC,164,35,5,-1.7586,183.86,183.86,183.86,3.0,181.5,2024.0
1219,CS,SC,29,29,6,-1.2342,180.72,185.07,182.75,17.0,179.0,2024.0
2007,AT,SC,100,8,6,0.1893,183.76,189.27,186.65,14.0,185.0,2024.0
1014,CS,BC,2,29,0,-0.8676,184.67,185.26,185.36,6.0,185.0,2024.0
5530,CS,BC,306,29,0,-7.0325,182.96,182.96,182.96,3.0,177.0,2023.0
4974,CE,OC,287,18,5,-3.25,187.12,187.12,187.12,2.0,185.5,2022.0
2608,AD,BC,121,0,0,1.4598,186.12,189.96,184.82,11.0,193.0,2024.0
4974,EE,OC,287,35,5,0.5714,183.5,183.5,183.5,3.0,182.5,2023.0
1399,BM,BCM,58,10,1,1.2222,182.85,187.31,185.8,7.0,183.0,2024.0
2620,EE,BC,130,35,0,4.75,183.12,183.12,183.12,2.0,185.5,2022.0
2615,CE,BC,127,18,0,-1.9667,182.39,184.89,181.88,9.0,179.0,2024.0
1309,CS,BCM,46,29,1,1.6103,183.04,186.42,185.34,7.0,182.5,2024.0
1114,CS,BC,9,29,0,-0.97,185.89,185.89,185.89,2.0,185.5,2022.0
2719,EC,OC,170,34,5,-1.5212,181.86,185.16,182.99,12.0,181.0,2024.0
2739,IT,MBC,183,57,2,-1.6108,182.16,183.93,181.84,10.0,179.5,2024.0
2618,EC,BCM,129,34,1,3.75,183.62,183.62,183.62,2.0,185.5,2022.0
1304,AD,MBC,43,0,2,-2.4734,182.28,185.93,181.38,20.0,179.0,2024.0
1324,CS,MBC,55,29,2,-1.4941,181.66,187.37,182.12,14.0,179.5,2024.0
2750,BT,BC,190,13,0,-3.13,186.75,186.75,186.75,2.0,185.5,2022.0
1324,EE,BC,55,35,0,2.1529,185.19,185.76,185.14,5.0,183.5,2024.0
5009,CS,BCM,300,29,1,2.03,189.21,189.21,189.21,3.0,192.5,2023.0
1149,CS,MBC,21,29,2,-3.0255,181.17,182.07,181.52,6.0,180.0,2024.0
3011,EC,MBC,203,34,2,0.1669,181.59,190.24,183.92,9.0,182.0,2024.0
2005,ME,BCM,98,65,1,1.5714,179.54,182.54,181.5,9.0,179.0,2024.0
4960,IT,OC,277,57,5,-1.6635,184.54,184.54,184.54,4.0,186.5,2024.0
2702,AD,BCM,157,0,1,-1.9537,181.94,185.83,182.1,9.0,180.5,2024.0
4020,CS,OC,249,29,5,2.0294,183.69,185.88,185.05,6.0,186.5,2024.0
2006,CM,ST,99,25,8,-4.0,186.6,186.6,186.6,2.0,185.0,2022.0
1211,CS,SC,25,29,6,0.3521,180.93,187.16,184.15,24.0,179.0,2024.0
2711,IT,MBC,164,57,2,-2.9306,181.03,183.92,180.19,13.0,179.0,2024.0
2708,BM,BC,161,10,0,1.875,184.83,184.83,184.83,3.0,186.0,2024.0
1,IM,ST,0,55,8,-0.082,188.21,188.21,188.21,4.0,193.0,2024.0
2704,IT,BC,158,57,0,-3.905,186.07,187.06,187.23,3.0,185.0,2022.0
4672,CS,BC,254,29,0,-0.6825,186.97,186.97,186.97,3.0,187.5,2023.0
2603,EC,MBC,119,34,2,-0.3861,180.95,186.36,181.53,27.0,179.0,2024.0
1419,IT,BCM,69,57,1,0.3382,180.94,182.19,180.84,5.0,178.5,2023.0
2722,IT,BCM,172,57,1,-2.0857,181.76,183.55,181.88,7.0,179.0,2024.0
4960,CS,BCM,277,29,1,-0.9651,182.04,190.5,184.63,10.0,181.0,2024.0
5901,EE,OC,314,35,5,-0.9422,185.65,186.84,187.26,10.0,185.5,2024.0
2711,CD,OC,164,17,5,-3.5636,182.36,184.36,182.41,4.0,178.0,2023.0
